source,target,value
PRK,USA,-7
PRK,KOR,-7
DRV,USA,-7
DRV,USA,-7
EGY,ISR,-6
ISR,SYR,-6
EGY,ISR,-6
ISR,SYR,-6
ISR,SYR,-6
ISR,SYR,-6
EGY,ISR,-6
EGY,ISR,-6
EGY,ISR,-6
ISR,SYR,-6
ISR,SYR,-6
ISR,JOR,-6
EGY,OTH,-6
ISR,SYR,-6
ISR,JOR,-6
ISR,JOR,-6
ISR,JOR,-6
ISR,JOR,-6
ISR,JOR,-6
ISR,JOR,-6
ZMB,ZWE,-6
IRN,IRQ,-6
LSO,ZAF,-6
CHN,UNO,-6
CHN,USA,-6
CHN,UNO,-6
IND,PAK,-6
ISR,JOR,-6
EGY,ISR,-6
EGY,ISR,-6
MEX,INT,-6
CHN,INT,-5
DZA,FRA,-5
IRQ,KWT,-5
BGD,IND,-5
HRV,HRV,-5
HRV,OTH,-5
ISR,SYR,-5
ISR,JOR,-5
ISR,SYR,-5
ISR,SYR,-5
EGY,SDN,-5
ISR,SYR,-5
ISR,SYR,-5
ISR,JOR,-5
ISR,INT,-5
ISR,JOR,-5
CHN,USR,-5
CHN,USR,-5
IRQ,SYR,-5
IRN,IRQ,-5
USR,INT,-5
AGO,AGO,-5
IRQ,KWT,-5
BGD,IND,-5
ARM,AZE,-5
ARM,AZE,-5
UKN,TJK,-5
UKN,RUS,-5
IRQ,INT,-5
LSO,INT,-5
MLI,MRT,-5
ISR,PLO,-5
CHN,TWN,-5
IND,PAK,-5
IND,PAK,-5
CYP,INT,-5
SDN,INT,-5
LBY,INT,-5
DRV,USA,-5
ISR,JOR,-5
NGA,INT,-5
ISR,LBN,-5
ETH,SOM,-5
BIH,INT,-4
ISR,PLO,-4
SDN,SYR,-4
IRQ,SYR,-4
ARM,AZE,-4
RUS,TJK,-4
BGD,IND,-4
HRV,YGF,-4
UNO,YGF,-4
KGZ,UZB,-4
LSO,ZAF,-4
MMR,INT,-4
MMR,INT,-4
GBR,OTH,-4
CYP,GBR,-4
LBY,USA,-4
RUS,INT,-4
GEO,INT,-4
IND,JPN,-3
JOR,SAU,-3
ISR,OTH,-3
ISR,PLO,-3
BIH,BIH,-3
IND,PAK,-3
PRK,KOR,-3
ISR,INT,-3
EGY,ISR,-3
ISR,LBN,-3
ISR,JOR,-3
GBR,USA,-3
EGY,USA,-3
EGY,GBR,-3
EGY,ISR,-3
EGY,USA,-3
EGY,USA,-3
MEX,USA,-3
EGY,SDN,-3
ISR,JOR,-3
ARL,ISR,-3
EGY,ISR,-3
IND,PAK,-3
GBR,GHA,-3
EGY,ISR,-3
ISR,JOR,-3
ISR,LBN,-3
ISR,LBN,-3
IND,PAK,-3
JOR,INT,-3
EGY,INT,-3
ARG,BRA,-3
ISR,PLO,-3
GUY,SUR,-3
EGY,USR,-3
ROM,YGF,-3
CZS,HUN,-3
CZS,HUN,-3
AUT,HUN,-3
MEX,USA,-3
MEX,USA,-3
TUR,SYR,-3
JOR,USA,-3
SYR,USA,-3
BEL,OTH,-3
ISR,PLO,-3
FRA,OTH,-3
CZS,HUN,-3
ISR,JOR,-3
EGY,ISR,-3
IRQ,TUR,-3
CZS,HUN,-3
CZS,HUN,-3
CZS,HUN,-3
EST,RUS,-3
IRQ,TUR,-3
ARG,PRY,-3
HRV,HUN,-3
ARM,IRN,-3
IRN,AZE,-3
EGY,IRQ,-3
EGY,SDN,-3
SYR,TUR,-3
IRQ,TUR,-3
SYR,TUR,-3
SYR,TUR,-3
BGD,IND,-3
BGD,INT,-3
KGZ,UZB,-3
MMR,THA,-3
IND,PAK,-3
HUN,SVK,-3
IRQ,TUR,-3
SYR,TUR,-3
ISR,JOR,-3
ISR,JOR,-3
ISR,JOR,-3
MMR,THA,-3
MLI,MRT,-3
ZAF,INT,-3
ARM,AZE,-3
GDR,GFR,-3
JOR,INT,-3
ISR,INT,-3
GFR,USR,-3
BRA,PRY,-3
CHN,USR,-3
IND,INT,-3
KHM,USA,-3
VEN,INT,-3
PAK,INT,-3
ARG,CHL,-3
EEC,GFR,-3
DNK,KEN,-3
ZAF,INT,-3
ZAF,INT,-3
ZAF,INT,-3
GEO,INT,-3
LBN,INT,-3
KAZ,KGZ,-3
SEN,MRT,-3
CHN,RUS,-3
CHN,KAZ,-3
SYR,TUR,-3
BGD,IND,-3
MEX,USA,-3
MEX,USA,-3
BGD,IND,-3
MEX,USA,-3
AFG,IRN,-3
IND,PAK,-3
BGD,IND,-3
TZA,KEN,-3
UGA,EGY,-3
CAN,USA,-3
CAN,USA,-3
IND,PAK,-3
IND,PAK,-3
BGD,IND,-3
ROM,UKR,-3
SYR,TUR,-3
LBN,USA,-2
EGY,ISR,-2
ISR,UKN,-2
LBY,TCD,-2
POL,USR,-2
MYS,INT,-2
GFR,IRQ,-2
BEL,IRQ,-2
CAN,USA,-2
OTH,USA,-2
HRV,YGF,-2
IRQ,UNO,-2
BIH,RUS,-2
BIH,INT,-2
RUS,INT,-2
BIH,INT,-2
IND,PAK,-2
IND,PAK,-2
MEX,USA,-2
MEX,USA,-2
ISR,SYR,-2
ISR,SYR,-2
ISR,JOR,-2
IND,PAK,-2
ISR,JOR,-2
ESP,FRA,-2
ESP,FRA,-2
ISR,SYR,-2
ISR,JOR,-2
ISR,UNO,-2
IND,PAK,-2
SYR,USA,-2
GBR,SYR,-2
FRA,SYR,-2
GBR,USR,-2
USA,USR,-2
FRA,USA,-2
UNO,USR,-2
PAK,USA,-2
EGY,ISR,-2
ISR,USA,-2
ISR,SYR,-2
EGY,SDN,-2
MEX,USA,-2
EGY,SDN,-2
EGY,USR,-2
JOR,SYR,-2
ISR,SYR,-2
ISR,JOR,-2
ISR,JOR,-2
ISR,SYR,-2
EGY,ISR,-2
ISR,LBN,-2
EGY,GBR,-2
EGY,USR,-2
EGY,ETH,-2
ETH,SDN,-2
ISR,LBN,-2
ISR,SYR,-2
ISR,SYR,-2
ISR,SYR,-2
IND,PAK,-2
ISR,SYR,-2
IND,USA,-2
GBR,IND,-2
IND,PAK,-2
IND,OTH,-2
ISR,UNO,-2
EGY,SDN,-2
SDN,SYR,-2
IND,PAK,-2
IND,PAK,-2
EGY,SDN,-2
IND,PAK,-2
IND,PAK,-2
EGY,GFR,-2
EGY,TUR,-2
IND,PAK,-2
EGY,ISR,-2
EGY,ISR,-2
ISR,LBN,-2
ISR,LBN,-2
ISR,JOR,-2
OTH,SDN,-2
ISR,JOR,-2
GHA,USA,-2
ISR,SYR,-2
ISR,SYR,-2
IND,PAK,-2
BGD,IND,-2
CAN,USA,-2
CHL,OTH,-2
ISR,JOR,-2
ISR,USR,-2
ARL,LBN,-2
ISR,LBN,-2
ISR,SYR,-2
ISR,SYR,-2
ISR,JOR,-2
BOL,CHL,-2
ISR,SYR,-2
ISR,SYR,-2
MWI,TZA,-2
JOR,ISR,-2
JOR,ISR,-2
ARG,URY,-2
IRN,IRQ,-2
IRN,IRQ,-2
ISR,JOR,-2
ARG,PRY,-2
ARG,BRA,-2
CRI,NIC,-2
CHN,USR,-2
TZA,UGA,-2
IRQ,SYR,-2
BGD,IND,-2
BGD,UNO,-2
BGD,IND,-2
BGD,IND,-2
ARG,BRA,-2
ZMB,ZWE,-2
BGD,IND,-2
IRN,IRQ,-2
IRN,IRQ,-2
IRN,IRQ,-2
CAN,USA,-2
IND,PAK,-2
PRK,KOR,-2
PRK,KOR,-2
PRK,KOR,-2
PRK,KOR,-2
OTH,USA,-2
CAN,OTH,-2
MEX,OTH,-2
GTM,OTH,-2
MEX,OTH,-2
IND,PAK,-2
GRC,YGF,-2
IRN,IRQ,-2
GRC,YGF,-2
GRC,YGF,-2
IRN,IRQ,-2
IRN,IRQ,-2
IRN,IRQ,-2
EGY,ISR,-2
GTM,MEX,-2
HUN,SVK,-2
CZS,HUN,-2
HUN,YGF,-2
MEX,USA,-2
CZS,HUN,-2
SYR,TUR,-2
IRN,UKN,-2
IRN,IRQ,-2
